date_purchase_id,date_purchase
148,2019-06-28
694,2021-05-20
1293,2023-06-14
245,2019-10-22
1270,2023-05-17
65,2019-03-23
468,2020-08-16
1140,2022-12-06
91,2019-04-23
1425,2023-11-21
1287,2023-06-06
556,2020-12-03
313,2020-01-14
1430,2023-11-26
531,2020-11-04
1121,2022-11-16
395,2020-05-07
1299,2023-06-23
37,2019-02-17
596,2021-01-17
443,2020-07-09
928,2022-03-16
908,2022-02-16
1212,2023-02-27
904,2022-02-12
282,2019-12-08
160,2019-07-12
24,2019-01-31
1027,2022-07-20
1255,2023-04-23
27,2019-02-06
850,2021-11-29
1471,2024-01-14
201,2019-08-31
118,2019-05-21
661,2021-04-08
777,2021-08-28
977,2022-05-13
1257,2023-04-29
828,2021-11-01
600,2021-01-21
115,2019-05-18
627,2021-02-22
643,2021-03-13
413,2020-06-01
845,2021-11-24
1435,2023-12-02
569,2020-12-17
1422,2023-11-17
1096,2022-10-16
20,2019-01-26
131,2019-06-08
764,2021-08-15
895,2022-02-01
171,2019-07-27
254,2019-11-03
915,2022-02-24
730,2021-07-01
1066,2022-09-03
986,2022-05-24
41,2019-02-22
602,2021-01-23
1256,2023-04-25
464,2020-08-11
723,2021-06-21
1453,2023-12-24
1298,2023-06-22
981,2022-05-18
1102,2022-10-23
1184,2023-01-29
1323,2023-07-24
1176,2023-01-19
35,2019-02-14
793,2021-09-17
463,2020-08-10
422,2020-06-13
129,2019-06-05
1002,2022-06-11
1348,2023-08-22
636,2021-03-04
1277,2023-05-25
491,2020-09-15
1070,2022-09-08
1423,2023-11-18
144,2019-06-23
221,2019-09-23
236,2019-10-13
157,2019-07-08
274,2019-11-26
198,2019-08-27
868,2021-12-25
228,2019-10-03
989,2022-05-27
1004,2022-06-13
565,2020-12-13
122,2019-05-25
269,2019-11-21
49,2019-03-05
1398,2023-10-21
22,2019-01-29
718,2021-06-16
796,2021-09-20
238,2019-10-15
503,2020-09-28
359,2020-03-15
1244,2023-04-08
1316,2023-07-15
181,2019-08-07
165,2019-07-18
1205,2023-02-20
583,2021-01-01
476,2020-08-31
1014,2022-07-02
1313,2023-07-11
1062,2022-08-29
1226,2023-03-17
479,2020-09-03
611,2021-02-04
1463,2024-01-05
486,2020-09-10
1404,2023-10-28
229,2019-10-04
325,2020-01-27
1386,2023-10-07
1217,2023-03-05
297,2019-12-27
1164,2023-01-04
355,2020-03-10
1329,2023-08-01
1061,2022-08-28
1305,2023-06-29
983,2022-05-21
892,2022-01-29
888,2022-01-23
345,2020-02-23
765,2021-08-16
287,2019-12-13
814,2021-10-10
985,2022-05-23
1032,2022-07-26
424,2020-06-16
419,2020-06-09
1146,2022-12-13
184,2019-08-11
394,2020-05-05
1274,2023-05-21
1188,2023-02-02
658,2021-04-01
1085,2022-09-30
1392,2023-10-14
36,2019-02-15
377,2020-04-12
177,2019-08-02
301,2019-12-31
1082,2022-09-27
64,2019-03-22
593,2021-01-14
471,2020-08-21
340,2020-02-14
172,2019-07-28
485,2020-09-09
439,2020-07-04
852,2021-12-02
29,2019-02-08
1330,2023-08-02
478,2020-09-02
575,2020-12-24
1424,2023-11-19
846,2021-11-25
835,2021-11-09
1191,2023-02-06
1172,2023-01-14
1456,2023-12-27
271,2019-11-23
1021,2022-07-11
126,2019-06-01
268,2019-11-20
383,2020-04-21
504,2020-09-29
75,2019-04-03
1165,2023-01-05
246,2019-10-23
1371,2023-09-20
957,2022-04-20
1179,2023-01-22
988,2022-05-26
397,2020-05-11
590,2021-01-11
382,2020-04-20
982,2022-05-20
13,2019-01-17
645,2021-03-15
431,2020-06-23
615,2021-02-09
1347,2023-08-21
237,2019-10-14
1322,2023-07-23
626,2021-02-21
33,2019-02-12
227,2019-10-02
893,2022-01-30
371,2020-04-04
775,2021-08-26
679,2021-04-27
536,2020-11-12
134,2019-06-11
263,2019-11-15
1359,2023-09-04
444,2020-07-11
618,2021-02-12
551,2020-11-28
950,2022-04-11
140,2019-06-19
967,2022-05-02
145,2019-06-24
185,2019-08-12
1321,2023-07-21
195,2019-08-24
891,2022-01-27
996,2022-06-04
253,2019-10-31
754,2021-08-04
625,2021-02-20
994,2022-06-01
1384,2023-10-05
731,2021-07-04
1018,2022-07-07
646,2021-03-17
711,2021-06-07
1044,2022-08-08
59,2019-03-16
1350,2023-08-24
649,2021-03-20
239,2019-10-16
1074,2022-09-17
539,2020-11-15
776,2021-08-27
1038,2022-08-02
768,2021-08-19
739,2021-07-15
17,2019-01-23
1051,2022-08-15
499,2020-09-23
1400,2023-10-23
1056,2022-08-22
837,2021-11-12
1124,2022-11-19
1058,2022-08-24
136,2019-06-14
675,2021-04-22
744,2021-07-21
54,2019-03-11
966,2022-05-01
441,2020-07-06
307,2020-01-07
114,2019-05-17
1460,2024-01-02
372,2020-04-06
259,2019-11-08
769,2021-08-20
610,2021-02-03
708,2021-06-04
465,2020-08-12
1401,2023-10-25
378,2020-04-14
1005,2022-06-14
164,2019-07-17
1194,2023-02-09
603,2021-01-24
878,2022-01-08
896,2022-02-02
18,2019-01-24
1397,2023-10-19
1012,2022-06-29
159,2019-07-10
322,2020-01-23
639,2021-03-07
987,2022-05-25
672,2021-04-19
823,2021-10-26
713,2021-06-10
695,2021-05-21
1092,2022-10-07
1285,2023-06-04
276,2019-11-30
398,2020-05-12
920,2022-03-02
799,2021-09-23
494,2020-09-18
780,2021-09-01
1157,2022-12-27
867,2021-12-24
696,2021-05-22
472,2020-08-23
862,2021-12-16
255,2019-11-04
805,2021-09-30
766,2021-08-17
545,2020-11-21
163,2019-07-16
337,2020-02-11
1114,2022-11-05
1015,2022-07-03
146,2019-06-26
592,2021-01-13
673,2021-04-20
874,2022-01-04
223,2019-09-27
597,2021-01-18
959,2022-04-23
968,2022-05-03
1231,2023-03-24
286,2019-12-12
1434,2023-11-30
1052,2022-08-16
613,2021-02-07
1317,2023-07-16
290,2019-12-18
1284,2023-06-02
475,2020-08-30
940,2022-03-30
507,2020-10-03
376,2020-04-11
327,2020-01-29
445,2020-07-12
884,2022-01-18
427,2020-06-19
784,2021-09-08
659,2021-04-03
540,2020-11-16
1267,2023-05-13
741,2021-07-17
921,2022-03-03
984,2022-05-22
616,2021-02-10
384,2020-04-22
61,2019-03-19
517,2020-10-17
1376,2023-09-25
242,2019-10-19
979,2022-05-15
820,2021-10-20
270,2019-11-22
520,2020-10-20
169,2019-07-25
63,2019-03-21
5,2019-01-06
264,2019-11-16
1431,2023-11-27
1245,2023-04-09
1410,2023-11-03
1405,2023-10-29
677,2021-04-24
925,2022-03-11
1458,2023-12-29
187,2019-08-15
84,2019-04-15
1395,2023-10-17
1427,2023-11-23
629,2021-02-24
407,2020-05-24
798,2021-09-22
1233,2023-03-28
914,2022-02-23
570,2020-12-18
76,2019-04-04
133,2019-06-10
309,2020-01-10
1383,2023-10-04
176,2019-08-01
1327,2023-07-29
622,2021-02-16
1242,2023-04-06
1064,2022-08-31
786,2021-09-10
1362,2023-09-08
435,2020-06-27
1357,2023-09-02
725,2021-06-23
162,2019-07-15
396,2020-05-09
808,2021-10-03
995,2022-06-02
206,2019-09-05
273,2019-11-25
1352,2023-08-26
589,2021-01-09
1137,2022-12-02
97,2019-04-29
594,2021-01-15
1159,2022-12-30
1461,2024-01-03
990,2022-05-28
304,2020-01-04
1196,2023-02-11
1160,2022-12-31
605,2021-01-27
496,2020-09-20
130,2019-06-07
